R00001  Polyphosphate polyphosphohydrolase
R06884  Bisphenol A + NADH + H+ + Oxygen <=> 2,2-Bis(4-hydroxyphenyl)-1-propanol + NAD+ + H2O
R06885  1,2-Bis(4-hydroxyphenyl)-2-propanol <=> 4,4'-Dihydroxy-alpha-methylstilbene + H2O
R06886  4,4'-Dihydroxy-alpha-methylstilbene + Oxygen <=> 4-Hydroxybenzaldehyde + 4'-Hydroxyacetophenone
R06887  2,2-Bis(4-hydroxyphenyl)-1-propanol + Oxygen <=> 2,2-Bis(4-hydroxyphenyl)-propanoic acid + H2O
R06888  2,2-Bis(4-hydroxyphenyl)-1-propanol + NADH + H+ + Oxygen <=> 2,3-Bis(4-hydroxyphenyl)-1,2-propanediol + NAD+ + H2O
R06889  2,3-Bis(4-hydroxyphenyl)-1,2-propanediol + Oxygen <=> 4-Hydroxyphenacyl alcohol + 4-Hydroxybenzoate
R06890  4-Ethylphenol + NADPH + H+ + Oxygen <=> 1-(4'-Hydroxyphenyl)ethanol + NADP+ + H2O
R06891  1-(4'-Hydroxyphenyl)ethanol + NAD+ <=> 4'-Hydroxyacetophenone + NADH + H+
R06892  (4-hydroxyphenyl)ethan-1-one,NADPH:oxygen oxidoreductase (ester-forming)
R06893  aryl-ester hydrolase
R06894  UDP-N-acetyl-D-galactosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-D-galactosaminuronic acid + 2 NADH + 2 H+
R06895  coproporphyrinogen-III:S-adenosyl-L-methionine oxidoreductase(decarboxylating)
R06896  chlorophyllide-a:NADP+ oxidoreductase
R06897  2,4-dihydroxyhept-2-enedioate hydro-lyase
R06898  2-Naphthoic acid <=> 5,6,7,8-Tetrahydro-2-naphthoic acid
R06899  5,6,7,8-Tetrahydro-2-naphthoic acid <=> Decahydro-2-naphthoic acid
R06900  5,6,7,8-Tetrahydro-2-naphthoic acid <=> cis-2-Carboxycyclohexyl-acetic acid
R06901  Tetralin <=> 5,6,7,8-Tetrahydro-2-naphthoic acid
R06902  2-Naphthoic acid <=> 1-Hydroxy-2-naphthoate
R06903  2-Methylnaphthalene + Fumarate <=> Naphthyl-2-methyl-succinic acid
R06904  Naphthyl-2-methyl-succinic acid + Succinyl-CoA <=> Naphthyl-2-methyl-succinyl-CoA + Succinate
R06905  Naphthyl-2-methyl-succinyl-CoA <=> Naphthyl-2-methylene-succinyl-CoA + 2 H+
R06906  Naphthyl-2-methylene-succinyl-CoA + H2O <=> Naphthyl-2-hydroxymethyl-succinyl CoA
R06907  Naphthyl-2-hydroxymethyl-succinyl CoA <=> Naphthyl-2-oxomethyl-succinyl-CoA + 2 H+
R06908  Naphthyl-2-oxomethyl-succinyl-CoA + CoA <=> 2-Naphthoyl-CoA + Succinyl-CoA
R06909  naphthalene,NADH:oxygen oxidoreductase (1,2-hydroxylating)
R06910  cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase
R06911  1,2-Dihydroxy-8-methylnaphthalene + Oxygen <=> 2-Hydroxy-8-methylchromene-2-carboxylate
R06912  2-Hydroxy-8-methylchromene-2-carboxylate <=> 2-Hydroxy-3-methylbenzalpyruvate
R06913  2-Hydroxy-3-methylbenzalpyruvate + H2O <=> 3-Methylsalicylaldehyde + Pyruvate
R06914  3-Methylsalicylaldehyde + NAD+ + H2O <=> 3-Methylsalicylate + NADH + H+
R06915  salicylate,NADH:oxygen oxidoreductase (1-hydroxylating,decarboxylating)
R06916  1-Methylnaphthalene + Oxygen + NADH + H+ <=> 1-Hydroxymethylnaphthalene + NAD+ + H2O
R06917  alcohol:NAD+ oxidoreductase
R06918  1-Naphthaldehyde + NAD+ + H2O <=> 1-Naphthoic acid + NADH + H+
R06919  1-Naphthoic acid + Oxygen + NADH + H+ <=> cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene + NAD+
R06920  cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene <=> 1,2-Dihydroxy-8-carboxynaphthalene
R06921  1,2-Dihydroxy-8-carboxynaphthalene + Oxygen <=> 2-Carboxy-2-hydroxy-8-carboxychromene
R06922  2-Carboxy-2-hydroxy-8-carboxychromene <=> 2-Hydroxy-3-carboxybenzalpyruvate
R06923  2-Hydroxy-3-carboxybenzalpyruvate + H2O <=> 3-Formylsalicylic acid + Pyruvate
R06924  3-Formylsalicylic acid + Oxygen + H2O <=> 2-Hydroxyisophthalic acid + H2O2
R06925  2-Hydroxyisophthalic acid <=> Salicylate + CO2
R06926  2-Methylnaphthalene + Oxygen + NADH + H+ <=> (2-Naphthyl)methanol + NAD+ + H2O
R06927  alcohol:NAD+ oxidoreductase
R06928  2-Naphthaldehyde + NAD+ + H2O <=> 2-Naphthoic acid + NADH + H+
R06929  2-Naphthaldehyde <=> 4-Formylsalicylic acid
R06930  naphthalene,NADH:oxygen oxidoreductase (1,2-hydroxylating)
R06931  cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase
R06932  1,2-Dihydroxy-7-hydroxymethylnaphthalene + Oxygen <=> 2-Hydroxy-7-hydroxymethylchromene-2-carboxylate
R06933  2-Hydroxy-7-hydroxymethylchromene-2-carboxylate <=> 2-Hydroxy-4-hydroxymethylbenzalpyruvate
R06934  2-Hydroxy-4-hydroxymethylbenzalpyruvate + H2O <=> 4-Hydroxymethylsalicylaldehyde + Pyruvate
R06935  4-Hydroxymethylsalicylaldehyde + NAD+ + H2O <=> 4-Hydroxymethylsalicylate + NADH + H+
R06936  salicylate,NADH:oxygen oxidoreductase (1-hydroxylating,decarboxylating)
R06937  naphthalene,NADH:oxygen oxidoreductase (1,2-hydroxylating)
R06938  cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene <=> 4-Methylsalicylate
R06939  salicylate,NADH:oxygen oxidoreductase (1-hydroxylating,decarboxylating)
R06940  N-Cyclohexylformamide + H2O <=> Cyclohexylamine + Formate
R06941  (S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
R06942  (3S)-3-hydroxyacyl-CoA hydro-lyase
R06943  Adipyl-CoA + FAD <=> 5-Carboxy-2-pentenoyl-CoA + FADH2
R06944  Adipate + CoA + ATP <=> Adipyl-CoA + AMP + Diphosphate
R06945  Cyclohexane + Oxygen + NADH + H+ <=> Cyclohexanol + NAD+ + H2O
R06946  zeaxanthin,NADH:oxygen oxidoreductase
R06947  zeaxanthin,NADH:oxygen oxidoreductase
R06948  violaxanthin-neoxanthin isomerase (epoxide-opening)
R06949  Neoxanthin <=> 9'-cis-Neoxanthin
R06950  Violaxanthin <=> 9-cis-Violaxanthin
R06951  9-cis-Violaxanthin <=> 9'-cis-Neoxanthin
R06952  9'-cis-Neoxanthin:9-cis-epoxycarotenoid dioxygenase
R06953  9-cis-Violaxanthin:9-cis-epoxycarotenoid dioxygenase
R06954  xanthoxin:NAD+ oxidoreductase
R06955  Xanthoxin <=> Xanthoxic acid
R06956  Xanthoxic acid <=> Abscisate
R06957  abscisic-aldehyde:oxygen oxidoreductase
R06958  Abscisic aldehyde <=> Abscisic alcohol
R06959  Abscisic alcohol <=> Abscisate
R06960  Neurosporene <=> alpha-Zeacarotene
R06961  alpha-Zeacarotene <=> delta-Carotene
R06962  delta-Carotene <=> alpha-Carotene
R06963  Lycopene <=> delta-Carotene
R06964  alpha-Carotene <=> Lutein
R06966  4-(ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine ethylaminohydrolase
R06967  N-isopropylammelide isopropylaminohydrolase
R06968  Melamine + H2O <=> 2-Hydroxy-4,6-diamino-1,3,5-triazine + NH3
R06969  2-Hydroxy-4,6-diamino-1,3,5-triazine + H2O <=> 2,4-Dihydroxy-6-amino-1,3,5-triazine + NH3
R06970  Cyromazine + H2O <=> N-Cyclopropylammeline + NH3
R06971  N-Cyclopropylammeline + H2O <=> N-Cyclopropylammelide + NH3
R06972  N-Cyclopropylammelide + H2O <=> Cyanuric acid + Cyclopropylamine
R06973  3-Oxopropanoate <=> Acetaldehyde + CO2
R06974  glycinamide ribonucleotide transformylase
R06975  5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase
R06976  ATP + Lombricine <=> ADP + N-Phospholombricine
R06977  L-2,4-diaminobutyrate:2-oxoglutarate 4-aminotransferase
R06978  L-2,4-diaminobutyrate acetyltransferase
R06979  Ectoine hydro-lyase
R06980  sulfoacetaldehyde:NAD+ oxidoreductase
R06981  isethionate:ferricytochrome-c oxidoreductase
R06982  S-(hydroxymethyl)glutathione synthase
R06983  S-(hydroxymethyl)glutathione dehydrogenase
R06985  trans-Hex-2-enoyl-CoA reductase
R06986  GDP-mannose:N-linked oligosaccharide alpha-1,6-D-mannosyltransferase
R06987  propanoyl-CoA:formate C-propanoyltransferase
R06988  3-(hydroxyamino)phenol hydroxymutase
R06989  2,5-Dihydro-5-oxofuran-2-acetate lyase (decyclizing)
R06990  2-Oxo-2,5-dihydrofuran-5-acetate delta3-delat2-isomerase
R06991  34a-Deoxy-rifamycin W <=> Rifamycin W
R06992  Rifamycin W <=> Rifamycin W-hemiacetal
R06993  Rifamycin W <=> Rifamycin Z
R06994  Rifamycin W-hemiacetal <=> Demethyl-desacetyl-rifamycin S
R06995  Rifamycin Z <=> Demethyl-desacetyl-rifamycin S
R06996  Demethyl-desacetyl-rifamycin S <=> Demethyl-desacetyl-rifamycin SV
R06997  Demethyl-desacetyl-rifamycin SV <=> 27-O-Demethyl-rifamycin SV
R06998  S-adenosyl-L-methionine(AdoMet):27-O-demethylrifamycin SV methyltransferase
R06999  Rifamycin <=> Rifamycin S
R07000  Naphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07001  Naphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07002  RX:glutathione R-transferase
R07003  RX:glutathione R-transferase
R07004  RX:glutathione R-transferase
R07005  (1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene <=> (1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
R07006  (1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene <=> (1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene
R07007  (1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene <=> (1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2- oxopropanoic acid
R07008  (1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene <=> (1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
R07009  (1R,2S)-Naphthalene 1,2-oxide <=> alpha-Naphthol
R07010  (1S,2R)-Naphthalene 1,2-oxide <=> alpha-Naphthol
R07011  (1R,2S)-Naphthalene 1,2-oxide <=> beta-Naphthol
R07012  (1S,2R)-Naphthalene 1,2-oxide <=> beta-Naphthol
R07013  (1R,2S)-naphthalene 1,2-oxide hydrolase
R07014  (1S,2R)-naphthalene 1,2-oxide hydrolase
R07015  1,2-Dihydronaphthalene-1,2-diol dehydrogenase
R07016  1,2-Dihydronaphthalene-1,2-diol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07017  Naphthalene-1,2-diol <=> 1,2-Naphthoquinone
R07018  alpha-Naphthol <=> 1,4-Dihydroxynaphthalene
R07019  1,4-Dihydroxynaphthalene <=> 1,4-Naphthoquinone
R07020  beta-Naphthol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07021  1-Nitronaphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07022  1-Nitronaphthalene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07023  1-Nitronaphthalene-7,8-oxide:glutathione R-transferase
R07024  1-Nitronaphthalene-7,8-oxide:glutathione R-transferase
R07025  1-Nitronaphthalene-5,6-oxide:glutathione R-transferase
R07026  1-Nitronaphthalene-5,6-oxide:glutathione R-transferase
R07027  1-nitronaphthalene-5,6-oxide hydrolase
R07028  1-Nitronaphthalene <=> 1-Nitrosonaphthalene
R07029  1-Nitrosonaphthalene <=> N-Hydroxy-1-aminonaphthalene
R07030  N-Hydroxy-1-aminonaphthalene <=> 1-Naphthylamine
R07031  5,6-Epoxytetraene + H2O <=> Lipoxin A4
R07032  5,6-Epoxytetraene + H2O <=> Lipoxin B4
R07034  Glutathione: 5-HPETE oxidoreductase
R07035  Glutathione: 15-HPETE oxidoreductase
R07036  Hepoxilin A3 hydrolase
R07037  Hepoxilin B3 hydrolase
R07038  Arachidonate: oxygen 12-oxidoreductase
R07039  12-HPETE hydroxymutase
R07040  12-HPETE hydroxymutase
R07041  Arachidonic acid:oxygen 1-oxidoreductase
R07042  15(S)-HPETE <=> 15H-11,12-EETA
R07043  15(S)-HPETE <=> 11H-14,15-EETA
R07044  15H-11,12-EETA + H2O <=> 11,12,15-THETA
R07045  11H-14,15-EETA + H2O <=> 11,14,15-THETA
R07046  (5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ <=> 19(S)-HETE + NADP+ + H2O
R07047  Arachidonate: oxygen 11-oxidoreductase
R07048  (5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ <=> 14,15-EET + NADP+ + H2O
R07049  Arachidonate:oxygen 9-oxidoreductase
R07050  (5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O
R07051  (5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ <=> 8,9-EET + NADP+ + H2O
R07052  (5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ <=> 5,6-EET + NADP+ + H2O
R07053  Arachidonate:oxygen 8-oxidoreductase
R07054  (5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ <=> 16(R)-HETE + NADP+ + H2O
R07055  Linoleate + Oxygen + NADPH + H+ <=> 9(10)-EpOME + NADP+ + H2O
R07056  Linoleate + Oxygen + NADPH + H+ <=> 12(13)-EpOME + NADP+ + H2O
R07057  Linoleate:oxygen 9-oxidoreductase
R07058  13-HODE:NAD+ oxidoreductase
R07059  GDP-4-dehydro-6-deoxy-D-mannose <=> GDP-4-keto-6-L-deoxygalactose
R07060  GDP-4-keto-6-L-deoxygalactose + NADPH + H+ <=> GDP-L-fucose + NADP+
R07061  Linoleate:(8R)-oxidoreductase
R07062  8(R)-HPODE <=> (7S,8S)-DiHODE
R07063  Linoleoyl-CoA,hydrogen-donor:oxygen oxidoreductase
R07064  Phosphatidylcholine 2-acylhydrolase
R07066  Bromobenzene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07067  delta-12-Prostaglandin J2 <=> 15-Deoxy-delta-12,14-PGJ2 + H2O
R07068  Bromobenzene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07069  Bromobenzene-3,4-oxide:glutathione R-transferase
R07070  Bromobenzene-2,3-oxide:glutathione R-transferase
R07071  bromobenzene-3,4-oxide hydrolase
R07072  bromobenzene-2,3-oxide hydrolase
R07073  Bromobenzene-3,4-oxide <=> 4-Bromophenol
R07074  Bromobenzene-2,3-oxide <=> 2-Bromophenol
R07075  4-Bromophenol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07076  4-Bromophenol-2,3-epoxide <=> 4-Bromocatechol
R07077  4-Bromocatechol <=> 4-Bromo-3,5-cyclohexadiene-1,2-dione
R07078  Bromobenzene-3,4-dihydrodiol <=> 4-Bromocatechol
R07079  Benzpyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07080  Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07081  Benzpyrene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07082  benzo[a]pyrene-7,8-oxide hydrolase
R07083  Benzo[a]pyrene-4,5-oxide:glutathione R-transferase
R07084  Benzo[a]pyrene-7,8-diol:glutathione R-transferase
R07085  Benzo[a]pyrene-7,8-diol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07086  Benzo[a]pyrene-9,10-oxide <=> 9-Hydroxybenzo[a]pyrene
R07087  9-Hydroxybenzo[a]pyrene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07088  1,1-Dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07089  1,1-Dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07090  1,1-Dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07091  2,2-Dichloroacetaldehyde:glutathione R-transferase
R07092  1,1-Dichloroethylene epoxide:glutathione R-transferase
R07093  Chloroacetyl chloride:glutathione R-transferase
R07094  2-(S-Glutathionyl)acetyl chloride:glutathione R-transferase
R07095  2,2-Dichloroacetaldehyde + H2O <=> 2,2-Dichloro-1,1-ethanediol
R07096  Chloroacetyl chloride + H2O <=> Chloroacetic acid
R07097  2-(S-Glutathionyl)acetyl chloride + H2O <=> 2-S-Glutathionyl acetate
R07098  Trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07099  Trichloroethene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07100  Trichloroethene:glutathione R-transferase
R07101  Chloral + H2O <=> Chloral hydrate
R07102  TCE epoxide <=> Dichloroacetyl chloride
R07103  Dichloroacetyl chloride <=> Dichloroacetate
R07104  Chloral:NAD(P)+ oxidoreductase
R07105  Trichloroethanol:NAD+ oxidoreductase
R07106  UDP-glucuronate beta-D-glucuronosyltransferase
R07107  Trichloroethanol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07108  14,15-EET hydrolase
R07109  11,12-EET hydrolase
R07110  8,9-EET hydrolase
R07111  5,6-EET hydrolase
R07112  1,2-Dibromoethane,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)
R07113  1,2-Dibromoethane:glutathione R-transferase
R07114  S-(Formylmethyl)glutathione <=> Thiodiacetic acid
R07115  S-(Formylmethyl)glutathione <=> Thiodiacetic acid sulfoxide
R07116  2-Bromoacetaldehyde:glutathione R-transferase
R07117  Glutathione episulfonium ion + H2O <=> S-(2-Hydroxyethyl)glutathione
R07118  S-(2-Hydroxyethyl)glutathione <=> S-(2-Hydroxyethyl)-N-acetyl-L-cysteine
R07119  Glutathione episulfonium ion <=> S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine
R07120  S-(Formylmethyl)glutathione <=> S-(2-Hydroxyethyl)glutathione
R07121  12(13)-EpOME hydrolase
R07122  9(10)-EpOME hydrolase
R07123  Trichloroacetate <=> Dichloroacetate
R07124  2-(S-Glutathionyl)acetyl glutathione + H2O <=> 2-S-Glutathionyl acetate + Glutathione
R07125  3-dehydro-L-gulonate-6-phosphate carboxy-lyase
R07126  Ascorbate <=> 3-Dehydro-L-gulonate 6-phosphate
R07127  ATP:3-dehydro-L-gulonate 6-phosphotransferase
R07128  Oplophorus-luciferin:oxygen 2-oxidoreductase (decarboxylating)
R07129  Dolichyl phosphate D-mannose + G00149 <=> Dolichyl phosphate + G00140
R07131  G02047 + 2 UDP-N-acetyl-D-glucosamine <=> G06302 + 2 UDP
R07132  D-galactose:NADP+ 1-oxidoreductase
R07133  D-sorbitol-6-phosphate:NAD+ 2-oxidoreductase
R07134  D-arabinitol:NAD+ 2-oxidoreductase (D-ribulose-forming)
R07135  mannitol:NAD+ 1-oxidoreductase
R07136  (R)-2-hydroxyacid:NAD+ oxidoreductase
R07137  (R)-2-hydroxyacid:NADP+ oxidoreductase
R07138  3beta-hydroxy-5alpha-steroid:NADP+ 3-oxidoreductase
R07139  lactaldehyde:NADP+ oxidoreductase
R07140  S-(hydroxymethyl)glutathione:NADP+ oxidoreductase
R07141  2'-deoxymugineic acid:NAD+ 3''-oxidoreductase
R07142  2'-deoxymugineic acid:NADP+ 3''-oxidoreductase
R07143  D-arabinitol:NADP+ oxidoreductase
R07144  D-arabinitol:NADP+ oxidoreductase
R07145  L-iditol:NAD+ 2-oxidoreductase
R07146  4-hydroxy-L-proline:NAD+ oxidoreductase
R07147  D-glucose:NADP+ 1-oxidoreductase
R07148  D-threo-aldose:NAD+ 1-oxidoreductase
R07149  3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha- carboxylate:NADP+ 3-oxidoreductase (decarboxylating)
R07150  dTDP-D-galactose:NADP+ 6-oxidoreductase
R07151  L-2-hydroxyphytanate:oxygen 2-oxidoreductase
R07152  xylitol:oxygen oxidoreductase
R07153  2-dehydro-D-gluconate:acceptor 2-oxidoreductase
R07154  pyridoxine:(acceptor) 5-oxidoreductase
R07155  (2R)-hydroxy-carboxylate:acceptor oxidoreductase
R07156  fluoroacetaldehyde:NAD+ oxidoreductase
R07157  carbon-monoxide,water:ferredoxin oxidoreductase
R07158  aldehyde:ferredoxin oxidoreductase
R07159  D-glyceraldehyde-3-phosphate:ferredoxin oxidoreductase
R07160  3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating;CoA-2-methylpropanoylating)
R07161  3-(indol-3-yl)pyruvate:ferredoxin oxidoreductase (decarboxylating,CoA-indole-acetylating)
R07162  acyl-CoA:NADP+ trans-2-oxidoreductase
R07163  all-trans-13,14-dihydroretinol:acceptor 13,14-oxidoreductas
R07164  L-aspartate:NAD+ oxidoreductase (deaminating)
R07165  L-aspartate:NADP+ oxidoreductase (deaminating)
R07166  D-amino-acid:(acceptor) oxidoreductase (deaminating)
R07167  taurine:(acceptor) oxidoreductase (deaminating)
R07168  5-methyltetrahydrofolate:NAD+ oxidoreductase
R07169  (R)-tetrahydroberberine:NADP+ oxidoreductase
R07170  (R)-6-hydroxynicotine:oxygen oxidoreductase
R07171  NADH:oxygen oxidoreductase
R07172  NADPH:oxygen oxidoreductase
R07173  hydroxylamine:acceptor oxidoreductase
R07174  hydroxylamine:acceptor oxidoreductase
R07175  CoA:NADP+ oxidoreductase
R07176  AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming)
R07177  thiosulfate:6-decylubiquinone oxidoreductase
R07178  violaxanthin:ascorbate oxidoreductase
R07179  antheraxanthin:ascorbate oxidoreductase
R07180  thiol-containing-reductant:hydroperoxide oxidoreductase
R07181  hydrogen:NADP+ oxidoreductase
R07182  hydrogen:(acceptor) oxidoreductase
R07183  acetylacetone:oxygen oxidoreductase
R07184  (gibberellin-44),2-oxoglutarate:oxygen oxidoreductase
R07185  2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase(2-hydroxylating)
R07186  mugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
R07187  2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
R07188  benzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)
R07190  N,N-Dihydroxy-L-tyrosine <=> (Z)-4-Hydroxyphenylacetaldehyde-oxime + CO2 + H2O
R07191  tetrachlorophenol,NADPH:oxygen oxidoreductase (hydroxylating)
R07192  ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating,ester-producing)
R07193  ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating, side-chain cleaving/17-hydroxylating, lactonizing)
R07194  alkene,NADH:oxygen oxidoreductase
R07195  2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,NADPH:oxygen oxidoreductase (cyclizing)
R07196  2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,NADPH:oxygen oxidoreductase (cyclizing)
R07197  4-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,NADPH:oxygen oxidoreductase (cyclizing)
R07198  liquiritigenin,NADPH:oxygen oxidoreductase (licodione-forming)
R07199  zeaxanthin,NADPH:oxygen oxidoreductase
R07200  zeaxanthin,NAD(P)H:oxygen oxidoreductase
R07201  phenylacetone,NADPH:oxygen oxidoreductase
R07202  abscisate,NADPH:oxygen oxidoreductase (8'-hydroxylating)
R07203  lithocholate,NADPH:oxygen oxidoreductase (6beta-hydroxylating)
R07204  5beta-cholestane-3alpha,7alpha-diol,NADPH:oxygen oxidoreductase(12alpha-hydroxylating)
R07205  taurochenodeoxycholate,NADPH:oxygen oxidoreductase(6alpha-hydroxylating)
R07206  lithocholate,NADPH:oxygen oxidoreductase(6alpha-hydroxylating)
R07207  cholesterol,NADPH:oxygen oxidoreductase (24-hydroxylating)
R07208  24-Hydroxycholesterol,NADPH:oxygen oxidoreductase(7alpha-hydroxylating)
R07209  cholest-5-ene-3beta,25-diol,NADPH:oxygen oxidoreductase(7alpha-hydroxylating)
R07210  alkanesulfonate, reduced-FMN:oxygen oxidoreductase
R07211  L-phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase(4-hydroxylating)
R07212  L-tyrosine,tetrahydrobiopterin:oxygen oxidoreductase(3-hydroxylating)
R07213  L-tryptophan,tetrahydrobiopterin:oxygen oxidoreductase(5-hydroxylating)
R07214  1-aminocyclopropane-1-carboxylate oxygenase (ethylene-forming)
R07215  5alpha-cholest-7-en-3beta-ol, NADPH:oxygen 5-oxidoreductase
R07216  n-tetradecanoyl-CoA,NADPH:O2 oxidoreductase [11-(E) desaturating]
R07217  n-tetradecanoyl-CoA,NADPH:O2 oxidoreductase [11-(Z) desaturating]
R07218  cholesterol,hydrogen-donor:oxygen oxidoreductase (25-hydroxylating)
R07219  dimethyallyl diphosphate:NADP+ oxidoreductase
R07220  deoxycholate:FAD oxidoreductase (7alpha-dehydroxylating)
R07221  6-hydroxynicotinate:O2 oxidoreductase
R07222  phenylacetyl-CoA:quinone oxidoreductase
R07223  4-cresol:acceptor oxidoreductase (methyl-hydroxylating)
R07224  2',4,4',6'-tetrahydroxychalcone:oxygen oxidoreductase
R07225  2',3,4,4',6'-pentahydroxychalcone:oxygen oxidoreductase
R07226  acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase(glycine-forming)
R07227  acetyl-phosphate methylamine:thioredoxin disulfide oxidoreductase(N-methylglycine-forming)
R07228  acetyl-phosphate trimethylamine:thioredoxin disulfide oxidoreductase(N,N,N-trimethylglycine-forming)
R07229  selenite:reduced acceptor oxidoreductase
R07230  acceptor:3,3',5'-triiodo-L-thyronine oxidoreductase (iodinating)
R07232  S-adenosyl-L-methionine:rRNA (adenine-N6-)-methyltransferase
R07233  S-adenosyl-L-methionine:rRNA (guanine-N1-)-methyltransferase
R07234  S-adenosyl-L-methionine:rRNA (guanine-N2-)-methyltransferase
R07235  S-adenosyl-L-methionine:2-nonaprenyl-3-methyl-5-hydroxy-6-methoxy- 1,4-benzoquinone 3-O-methyltransferase
R07236  S-adenosyl-L-methionine:gamma-tocopherol 5-O-methyltransferase
R07237  S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase
R07238  S-adenosyl-L-methionine:precorrin-1 C-methyltransferase
R07239  S-adenosyl-L-methionine:[cytochrome c]-arginine N(omega)-methyltransferase
R07240  S-adenosyl-L-methionine:isoeugenol O-methyltransferase
R07241  S-adenosyl-L-methionine:protoberberine 13-C-methyltransferase
R07242  S-adenosyl-L-methionine:isoliquiritigenin 2'-O-methyltransferase
R07243  S-adenosyl-L-methionine:sarcosine N-methyltransferase
R07244  S-adenosyl-L-methionine:N,N-dimethylglycine N-methyltransferase
R07245  carbamoyl-phosphate:N2-acetyl-L-ornithine carbamoyltransferase
R07247  fluoroacetaldehyde:L-threonine aldehydetransferase
